bairro;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
4313409002;0;0;0;1;0;0;3;0;0;152;20;470
4313409003;0;0;1;0;0;0;3;0;0;269;29;317
4313409004;0;0;0;0;0;0;0;0;0;27;6;81
4313409005;0;0;0;0;0;1;0;4;0;165;13;160
4313409006;0;0;0;0;0;0;0;0;0;301;24;149
4313409007;0;0;0;0;0;0;0;0;0;223;19;333
4313409008;0;0;0;1;0;0;0;1;0;95;6;412
4313409009;0;0;1;0;0;0;0;1;1;70;24;128
4313409010;0;0;1;4;0;0;0;0;1;45;10;107
4313409011;0;0;0;1;0;0;1;0;0;80;41;212
4313409012;0;0;0;0;0;0;0;0;0;123;60;383
4313409013;0;0;1;0;0;0;0;0;0;172;172;563
4313409014;0;0;0;2;1;0;1;2;2;991;192;2438
4313409015;1;0;0;0;0;0;0;0;0;332;56;542
4313409016;0;0;0;0;0;0;2;0;0;110;4;88
4313409017;0;0;0;0;0;0;0;0;0;109;30;229
4313409018;0;0;3;4;2;1;2;2;1;1551;1161;3410
4313409019;0;0;0;0;0;0;0;0;0;309;77;818
4313409020;0;0;0;0;0;0;0;0;0;374;119;1186
4313409021;0;0;1;0;0;0;0;0;0;32;3;150
4313409022;0;0;2;2;0;0;3;0;0;75;27;223
4313409023;0;0;0;0;0;0;0;0;0;43;45;1225
4313409024;0;0;0;0;0;0;0;1;0;229;43;467
4313409025;0;0;1;0;0;0;0;0;0;63;6;221
4313409026;0;0;0;0;0;0;0;0;0;373;32;1050
4313409027;0;2;0;0;0;0;0;0;0;82;17;319
4313409028;0;0;0;0;0;0;0;0;0;7;0;31
